"SUMMONS_NUMBER","PLATE","STATE","WS_TYPE","ISSUE_DATE","VIOLATION_DESCRIPTION","VIOLATION_CODE","FINE_AMOUNT","VIOLATION_COUNTY","FRONT_OF_OPPOSITE","HOUSE_NUMBER","STREET_NAME","INTERSECT_STREET_NAME","STREET_CODE1","STREET_CODE2","STREET_CODE3"
"7204590600","BXK2313   ","NY","PAS","20100305","46A-Double Parking (Non-COM)                                           Y015001003","46","115","K    ","O","1302        ","83rd St             ","                    ","10730","06380","06480"
"7521051695","BXK2398   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                                   ","71","065","K    ","O","135         ","21st St             ","                    ","07330","05280","05430"
"7222732676","BXK3451   ","NY","PAS","20100306","20-No Parking                                                          Y015001003","20","060","K    ","O","1000        ","Nostrand Ave        ","                    ","67030","83030","39430"
"7222732688","BXK3451   ","NY","PAS","20100306","74B-Covered Plate                                                      Y015001003","74","065","K    ","O","1000        ","Nostrand Ave        ","                    ","67030","83030","39430"
"7529095298","BXK3504   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                                   ","71","065","K    ","O","162         ","13th St             ","                    ","06430","05280","05430"
"7415034089","EPF4743   ","NY","PAS","20100330","20-No Parking                                                                    ","20","060","BX   ","F","368         ","E Gun Hill Rd       ","                    ","29320","23920","73720"
"7628101409","BXK4406   ","NY","PAS","20100306","21-No Parking (street clean)                                           Y015001003","21","045","K    ","F","1114        ","Cortelyou Rd        ","                    ","29630","35280","35330"
"7320144463","BXL1021   ","NY","PAS","20100305","16A-No Std (Com Veh) Non-COM                                           Y015001003","16","095","NY   ","O","673         ","E 61st St           ","                    ","18210","40404","40404"
"7192209855","BXL7206   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","NY   ","O","48          ","E 7th St            ","                    ","17130","10110","10010"
"1291594413","EPF5031   ","NY","PAS","20100325","                                                                                 ","21","045","K    ","F","8405        ","5 AVE               ","                    ","05580","10780","10830"
"7949806552","BXL7525   ","NY","PAS","20100306","16A-No Std (Com Veh) Non-COM                                           Y015001003","16","095","NY   ","F","126         ","Bowery              ","                    ","13460","21690","13810"
"7773387412","BXMAIN1   ","NY","SRF","20100306","19-No Stand (bus stop)                                                 Y015001003","19","115","BX   ","F","253         ","E 149th St          ","                    ","26130","56820","52120"
"7843790986","BXM1221   ","NY","PAS","20100306","72A-Insp Stkr Counterfeit                                                        ","72","065","NY   ","F","320         ","Park Ave            ","                    ","27790","17990","18010"
"7853094784","BXM1619   ","NY","PAS","20100305","14-No Standing                                                                   ","14","115","BX   ","F","260         ","Other-See Comments  ","EAST 161 STREET     ","00000","00000","00000"
"7810933656","BXM1865   ","NY","PAS","20100306","34-Expired Meter                                                       Y015001003","34","035","NY   ","O","1161        ","Amsterdam Ave       ","                    ","11710","36090","36130"
"1290957381","DBR8937   ","NY","PAS","20100327","                                                                                 ","46","115","Q    ","F","167-13      ","HILLSIDE AVE        ","                    ","49690","24390","24490"
"7864580579","BXM2009   ","NY","PAS","20100306","38-Failure to Display Muni Rec                                                   ","38","065","NY   ","I","S           ","E 55th St           ","45ft W/of Park Ave  ","18090","00000","00000"
"7224993244","BXM3040   ","NY","PAS","20100305","19-No Stand (bus stop)                                                           ","19","115","K    ","F","2655        ","Nostrand Ave        ","                    ","67030","14180","14230"
"1291375650","DBT4527   ","NY","PAS","20100328","                                                                                 ","46","115","Q    ","F","103-35      ","120 ST              ","                    ","21340","19590","53790"
"7950197900","BXM3749   ","NY","PAS","20100305","38-Failure to Display Muni Rec                                                   ","38","065","NY   ","F","119         ","Essex St            ","                    ","20390","16310","29890"
"7272671452","BXM5356   ","NY","PAS","20100306","37-Expired Muni Meter                                                            ","37","065","NY   ","F","4           ","E 12th St           ","                    ","17230","10410","32645"
"7190152775","BXM6269   ","NY","PAS","20100305","20-No Parking                                                                    ","20","065","NY   ","F","261         ","Broome St           ","                    ","13810","27590","11610"
"7235859398","BXM7573   ","NY","PAS","20100307","20-No Parking                                                                    ","20","060","K    ","I","S           ","Cary Ct             ","40ft E/of Coney Isla","24850","00000","00000"
"7945363155","EPF5307   ","NY","PAS","20100330","38-Failure to Display Muni Rec                                                   ","38","065","NY   ","F","45          ","Allen St            ","                    ","11610","22890","21690"
"7195467168","BXM9355   ","NY","PAS","20100305","20-No Parking                                                          Y015001003","20","060","K    ","F","2683        ","E 14th St           ","                    ","35430","76330","77030"
"7519431502","BXM9489   ","NY","OMS","20100305","14-No Standing                                                                   ","14","115","K    ","F","459         ","De Kalb Ave         ","                    ","31530","84030","54000"
"7284650254","EPF5696   ","NY","PAS","20100330","14-No Standing                                                                   ","14","115","NY   ","F","581         ","W 207th St          ","                    ","37690","32690","13610"
"7163797527","BXN1568   ","NY","PAS","20100305","70A-Reg. Sticker Expired (NYS)                                                   ","70","065","R    ","I","W           ","Mundy Ave           ","30ft N/of Egbert Ave","00000","00000","00000"
"7570171883","BXN1589   ","NY","PAS","20100305","46A-Double Parking (Non-COM)                                           Y015001003","46","115","BX   ","F","2442        ","Eastchester Rd      ","                    ","29820","72920","48020"
"1285286560","BXN4830   ","NY","PAS","20100301","                                                                                 ","98","095","Q    ","F","74-36       ","44 AVE              ","                    ","09940","15640","15990"
"7968102534","BXN528    ","TX","PAS","20100306","50-Crosswalk                                                                     ","50","115","BX   ","I","W           ","Yates Ave           ","0ft N/of Boston Rd  ","00000","00000","00000"
"7529408197","BXN5515   ","NY","PAS","20100305","16A-No Std (Com Veh) Non-COM                                                     ","16","095","K    ","O","202         ","N 10th St           ","                    ","66630","34130","73650"
"7954941917","EPF5759   ","NY","PAS","20100330","46A-Double Parking (Non-COM)                                                     ","46","115","K    ","O","841         ","Bay Ridge Ave       ","                    ","17380","05880","05980"
"7470693051","BXN5937   ","NY","PAS","20100305","21-No Parking (street clean)                                                     ","21","045","Q    ","O","13809       ","78th Ave            ","                    ","16190","22590","22740"
"1294467475","EPF6046   ","NY","PAS","20100325","                                                                                 ","21","045","K    ","F","7116        ","BAY PKWY            ","                    ","17330","10080","14330"
"1105697113","DBU9166   ","NY","PAS","20100329","                                                                                 ","20","060","Q    ","F","90-10       ","150TH ST            ","                    ","23290","18140","51090"
"7866183363","BXN8544   ","NY","PAS","20100306","74-Missing Display Plate                                                         ","74","065","NY   ","I","S           ","W 48th St           ","60ft E/of 6th Ave   ","34730","00000","00000"
"7010437099","BXN9720   ","NY","PAS","20100306","16A-No Std (Com Veh) Non-COM                                                     ","16","095","NY   ","F","172         ","E 110th St          ","                    ","19170","24890","10210"
"7969297936","EPF6108   ","NY","PAS","20100330","20-No Parking                                                                    ","20","060","BX   ","I","S           ","Commerce Ave        ","70ft E/of Halsey St ","00000","00000","00000"
"7185315281","BXP2722   ","NY","PAS","20100306","34-Expired Meter                                                       Y015001003","34","035","Q    ","F","44-15       ","47th Ave            ","                    ","10440","10090","10240"
"7156282141","BXP7948   ","NY","PAS","20100305","40-Fire Hydrant                                                        Y015001003","40","115","Q    ","I","W           ","9th St              ","40ft S/of 37th Ave  ","05540","00000","00000"
"7480623665","BXP8968   ","NY","PAS","20100305","21-No Parking (street clean)                                                     ","21","045","Q    ","O","97-44       ","63rd Rd             ","                    ","13140","19040","19090"
"1291946202","EPF6638   ","NY","PAS","20100320","                                                                                 ","46","115","NY   ","F","328         ","W 125 ST            ","                    ","36270","10810","31190"
"1293756271","EPF6740   ","NY","PAS","20100317","                                                                                 ","40","115","NY   ","O","304         ","W 117 ST            ","                    ","36110","10810","25690"
"7151480805","BXR4717   ","NY","PAS","20100306","34-Expired Meter                                                                 ","34","035","Q    ","O","37-36       ","Junction Blvd       ","                    ","51790","08790","08990"
"7793711555","BXR4744   ","NY","PAS","20100305","21-No Parking (street clean)                                                     ","21","045","Q    ","F","111-57      ","43rd Ave            ","                    ","09840","20490","20740"
"1290481830","BXR4927   ","NY","PAS","20100302","                                                                       Y015001003","74","065","Q    ","O","72-08       ","32 AVE              ","                    ","08190","15340","15540"
"7821424791","EPF6939   ","NY","PAS","20100330","37-Expired Muni Meter                                                            ","37","065","NY   ","F","152         ","9th Ave             ","                    ","10910","34150","34170"
"7101914860","BXS1415   ","MI","PAS","20100305","34-Expired Meter                                                       Y015001003","34","035","Q    ","F","24-03       ","Queens Plaza North  ","                    ","36940","07190","07300"
"7692058015","BXS8482   ","NY","PAS","20100305","21-No Parking (street clean)                                                     ","21","045","K    ","F","8922        ","Avenue B            ","                    ","13780","37780","73210"
"7587643163","BXU1475   ","NY","PAS","20100305","14-No Standing                                                                   ","14","115","NY   ","F","30          ","E 38th St           ","                    ","17750","25390","27790"
"1293265433","EPF7399   ","NY","OMS","20100325","                                                                                 ","21","045","NY   ","F","3855        ","BWAY                ","                    ","13610","36970","36990"
"7937350880","BXU2594   ","NY","PAS","20100305","21-No Parking (street clean)                                           Y015001003","21","065","NY   ","F","640         ","E 5th St            ","                    ","17090","16400","12310"
"7655556702","BXU4219   ","NY","PAS","20100305","19-No Stand (bus stop)                                                           ","19","115","NY   ","F","4292        ","Broadway            ","                    ","13610","37390","37410"
"7022022380","BXU4535   ","NY","PAS","20100306","21-No Parking (street clean)                                                     ","21","045","Q    ","F","10827       ","Ascan Ave           ","                    ","28490","54102","28990"
"7267158602","BXU4838   ","NY","PAS","20100305","37-Expired Muni Meter                                                            ","37","065","NY   ","O","185         ","6th Ave             ","                    ","10510","32660","14910"
"7267158614","BXU4838   ","NY","PAS","20100305","37-Expired Muni Meter                                                  Y015001003","37","065","NY   ","F","185         ","6th Ave             ","                    ","10510","32660","14910"
"7832910598","EPF7635   ","NY","OMS","20100330","38-Failure to Display Muni Rec                                                   ","38","065","NY   ","F","369         ","8th Ave             ","                    ","10810","34330","34350"
"7101003813","BXU5189   ","NY","PAS","20100305","37-Expired Muni Meter                                                            ","37","035","Q    ","O","56-13       ","141st St            ","                    ","22740","11640","36400"
"1290340195","BXU5280   ","NY","PAS","20100301","                                                                                 ","21","045","K    ","F","225         ","WOODBINE ST         ","                    ","94130","93530","54100"
"7174668884","BXU5699   ","NY","PAS","20100305","46A-Double Parking (Non-COM)                                                     ","46","115","K    ","F","253         ","86th St             ","                    ","10880","73330","05280"
"7471940311","BXU5981   ","NY","PAS","20100305","40-Fire Hydrant                                                        Y015001003","40","115","Q    ","F","1500        ","Myrtle Ave          ","                    ","56490","40404","40404"
"1284053271","BXU6033   ","NY","PAS","20100301","                                                                       Y015001003","21","045","Q    ","F","91-22       ","118 ST              ","                    ","21140","18290","28890"
"7991324229","EPF7635   ","NY","PAS","20100330","40-Fire Hydrant                                                                  ","40","115","NY   ","I","W           ","St Nicholas Ave     ","60ft S/of W 118th St","31190","00000","00000"
"7909804982","BXU7075   ","NY","PAS","20100306","71A-Insp Sticker Expired (NYS)                                                   ","71","065","NY   ","F","35          ","E 32nd St           ","                    ","17630","25390","27790"
"7100684110","BXU7099   ","NY","PAS","20100306","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","Q    ","I","            ","Flushing Lot #1     ","                    ","00000","40404","40404"
"7874574813","EPF7854   ","NY","OMS","20100330","14-No Standing                                                                   ","14","115","NY   ","O","250         ","E 38th St           ","                    ","17750","97740","10110"
"7284264081","BXU7234   ","NY","PAS","20100306","19-No Stand (bus stop)                                                           ","19","115","NY   ","F","53          ","E 79th St           ","                    ","18570","25390","27790"
"7639758233","BXU8261   ","NY","PAS","20100306","20-No Parking                                                                    ","20","060","Q    ","O","17510       ","Henley Rd           ","                    ","49245","42190","51942"
"7639758245","BXU8261   ","NY","PAS","20100306","71A-Insp Sticker Expired (NYS)                                                   ","71","065","Q    ","O","17510       ","Henley Rd           ","                    ","49245","42190","51942"
"7341058456","BXU8455   ","NY","PAS","20100307","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","NY   ","F","2231        ","Broadway            ","                    ","13610","35350","35370"
"7505778985","BXU9087   ","NY","PAS","20100305","21-No Parking (street clean)                                           Y015001003","21","045","K    ","I","S           ","50th St             ","10ft W/of 4th Ave   ","09080","00000","00000"
"7141060558","BXU9219   ","NY","PAS","20100307","19-No Stand (bus stop)                                                 Y015001003","19","115","Q    ","F","143-04      ","45th Ave            ","                    ","10140","36590","62630"
"7036804993","BXU9392   ","NY","PAS","20100305","19-No Stand (bus stop)                                                 Y015001003","19","115","Q    ","O","6941        ","Myrtle Ave          ","                    ","56490","14590","14840"
"7830188075","BXV1025   ","NY","PAS","20100306","71A-Insp Sticker Expired (NYS)                                                   ","71","065","NY   ","O","547         ","2nd Ave             ","                    ","10110","17590","17610"
"7916173268","BXV1025   ","NY","PAS","20100306","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","NY   ","F","606         ","2nd Ave             ","                    ","10110","17650","17670"
"1289079997","EPF7987   ","NY","OMT","20100324","                                                                                 ","19","115","NY   ","F","618         ","8TH AVE             ","                    ","10810","34550","34570"
"7715330644","EPF8262   ","NY","PAS","20100330","14-No Standing                                                                   ","14","115","NY   ","F","190         ","Columbus Ave        ","                    ","15710","35130","35150"
"7644952019","BXV2361   ","NY","PAS","20100305","61-Wrong Way                                                           Y015001003","61","045","R    ","I","W           ","Stewart Ave         ","30ft N/of Victory Bl","00000","00000","00000"
"7533040454","BXV3081   ","NY","PAS","20100305","21-No Parking (street clean)                                           Y015001003","21","045","K    ","F","78          ","President St        ","                    ","72230","86730","28430"
"7956875614","BXV3290   ","NY","PAS","20100306","34-Expired Meter                                                       Y015001003","34","035","R    ","I","N           ","8th St              ","40ft E/of New Dorp L","00000","00000","00000"
"7229079196","BXV4156   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","K    ","F","6906        ","13th Ave            ","                    ","06380","17380","10030"
"7641063263","BXV4636   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                                   ","71","065","K    ","F","6614        ","18th Ave            ","                    ","06880","09880","09930"
"1291572790","BXV4718   ","NY","PAS","20100302","                                                                       Y015001003","21","045","     ","F","241         ","REMSEN AVE          ","                    ","73210","37180","93830"
"7357072587","BXV4731   ","NY","PAS","20100305","34-Expired Meter                                                                 ","34","065","NY   ","F","1036        ","3rd Ave             ","                    ","10210","18210","18230"
"7709742403","BXV4815   ","NY","PAS","20100307","40-Fire Hydrant                                                        Y015001003","40","115","NY   ","F","101         ","W 73rd St           ","                    ","35230","15710","11710"
"1291352612","DCA3687   ","NY","999","20100331","                                                                                 ","46","115","Q    ","O","113-18      ","LIBERTY AVE         ","                    ","53790","20640","20740"
"7308653377","BXV5166   ","NY","PAS","20100306","39-Overtime PKG-Time Limt Post                                                   ","39","065","NY   ","O","1865        ","Broadway            ","                    ","13610","34990","35010"
"7976937807","BXV5166   ","NY","PAS","20100305","74-Missing Display Plate                                                         ","74","065","NY   ","O","140         ","E 56th St           ","                    ","18110","24890","10210"
"7176935129","BXV6300   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                                   ","71","065","R    ","F","2626        ","Hylan Blvd          ","                    ","34100","49975","17730"
"7529095286","BXV6973   ","NY","PAS","20100305","20-No Parking                                                          Y015001003","20","060","K    ","F","175         ","6th St              ","                    ","05730","05130","05280"
"1293127723","EPF9297   ","NY","PAS","20100325","                                                                                 ","14","115","NY   ","O","26          ","LITTLE WEST 12 ST   ","                    ","25020","10910","33390"
"7763669720","BXV7108   ","NY","PAS","20100305","38-Failure to Display Muni Rec                                         Y015001003","38","035","Q    ","O","107-20      ","Queens Blvd         ","                    ","59990","14740","14810"
"7782131236","BXV7165   ","NY","PAS","20100306","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","Q    ","I","S           ","22nd Ave            ","20ft W/of 120th St  ","06790","00000","00000"
"7697766954","EPF9455   ","NY","PAS","20100330","34-Expired Meter                                                                 ","34","035","K    ","F","1105        ","Kings Hwy           ","                    ","54050","28830","35330"
"1290735876","BXV7328   ","NY","PAS","20100302","                                                                       Y015001003","19","115","Q    ","O","34-49       ","LINDEN PL           ","                    ","53990","08440","08590"
"7440190877","BXV7967   ","NY","PAS","20100306","34-Expired Meter                                                       Y015001003","34","035","Q    ","F","88-08       ","164th St            ","                    ","24240","49690","18040"
"1292423432","DCC3046   ","NY","PAS","20100331","                                                                                 ","14","115","Q    ","I","            ","                    ","C/O OCEAN FRONT     ","00000","00000","00000"
"7691723350","BXV8342   ","NY","PAS","20100306","34-Expired Meter                                                       Y015001003","34","035","K    ","O","2668        ","Nostrand Ave        ","                    ","67030","14230","14280"
"7549391920","BXV8417   ","NY","PAS","20100305","21-No Parking (street clean)                                           Y015001003","21","045","K    ","F","457         ","Wyona St            ","                    ","94930","19830","34330"
"7438232773","BXV9238   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                                   ","71","065","Q    ","F","12209       ","Lefferts Blvd       ","                    ","53490","60810","64890"
"7471093079","BXV9604   ","NY","PAS","20100305","21-No Parking (street clean)                                           Y015001003","21","045","Q    ","F","6530        ","Myrtle Ave          ","                    ","56490","13640","13640"
"7217035351","BXV9738   ","NY","PAS","20100306","19-No Stand (bus stop)                                                           ","19","115","K    ","F","6206        ","18th Ave            ","                    ","06880","09680","09730"
"7176934964","BXW1536   ","NY","PAS","20100305","34-Expired Meter                                                       Y015001003","34","035","R    ","I","N           ","9th St              ","65ft E/of New Dorp L","00000","00000","00000"
"1285595312","DCC7501   ","NY","PAS","20100307","                                                                                 ","71","065","Q    ","F","116-18      ","218 ST              ","                    ","26840","20890","53890"
"7697766966","EPF9455   ","NY","PAS","20100330","70A-Reg. Sticker Expired (NYS)                                                   ","70","065","K    ","F","1105        ","Kings Hwy           ","                    ","54050","28830","35330"
"1293632351","EPG2821   ","NY","PAS","20100320","                                                                                 ","20","060","NY   ","F","267         ","W 124 ST            ","                    ","36250","10610","10810"
"7513755280","EPG3233   ","NY","PAS","20100330","51-Sidewalk                                                                      ","51","115","K    ","F","72          ","Anthony St          ","                    ","12685","71830","87730"
"1289454565","BXW1931   ","NY","PAS","20100303","                                                                                 ","40","115","Q    ","F","25-04       ","37 ST               ","                    ","08940","28790","07540"
"7517076530","BXW2656   ","NY","PAS","20100305","21-No Parking (street clean)                                           Y015001003","21","045","K    ","O","475         ","Sackett St          ","                    ","74630","51030","20530"
"7151481100","BXW3563   ","NY","PAS","20100307","51-Sidewalk                                                                      ","51","115","Q    ","F","144-28      ","Barclay Ave         ","                    ","29290","58590","23090"
"7428990683","BXW3669   ","NY","PAS","20100306","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","Q    ","O","148-27      ","231st St            ","                    ","27097","23110","41700"
"7653426992","BXW3916   ","NY","PAS","20100305","20-No Parking                                                                    ","20","060","K    ","O","432         ","E 48th St           ","                    ","36930","26230","77930"
"7028001702","BXW4778   ","NY","PAS","20100307","19-No Stand (bus stop)                                                 Y015001003","19","115","Q    ","I","N           ","Austin St           ","5ft W/of 70th Rd    ","28990","00000","00000"
"1285704186","EPG3289   ","NY","PAS","20100327","                                                                                 ","67","165","R    ","O","20          ","DINA CT             ","                    ","25962","70071","70150"
"7638548980","BXW4908   ","NY","PAS","20100307","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","Q    ","O","107-31      ","115th St            ","                    ","20840","19990","20240"
"7250167546","EPG3576   ","NY","PAS","20100330","34-Expired Meter                                                                 ","34","035","K    ","F","1782        ","Flatbush Ave        ","                    ","40930","23330","36430"
"7133075726","EPG3680   ","NY","PAS","20100330","38-Failure to Display Muni Rec                                                   ","38","035","Q    ","O","136-48      ","39th Ave            ","                    ","09140","22590","58717"
"7328633451","BXW5025   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","NY   ","F","132         ","W 72nd St           ","                    ","35210","15710","11710"
"7969298138","EPG5732   ","NY","PAS","20100330","34-Expired Meter                                                                 ","34","035","BX   ","O","3865        ","E Tremont Ave       ","                    ","29620","63220","22240"
"1291928996","BXW5623   ","NY","PAS","20100302","                                                                                 ","40","115","Q    ","F","61-61       ","WOODHAVEN BLVD      ","                    ","68090","42870","12790"
"7257487029","EPG6653   ","NY","PAS","20100330","83-Improper Registration                                                         ","83","065","K    ","F","729         ","Quincy St           ","                    ","73050","73190","70030"
"7627436540","EPG8446   ","NY","PAS","20100330","38-Failure to Display Muni Rec                                                   ","38","065","NY   ","F","539         ","Laguardia Pl        ","                    ","44890","13310","33890"
"7274717005","BXW6394   ","NY","PAS","20100306","09-Blocking the Box                                                    Y015001003","09","115","NY   ","X","            ","6th Ave             ","Watts St            ","10510","33590","00000"
"1293762076","EPG9001   ","NY","PAS","20100321","                                                                                 ","40","115","     ","F","2           ","W 77 ST             ","                    ","35310","14510","15710"
"1289622097","BXW6442   ","NY","PAS","20100301","                                                                       Y015001003","21","045","K    ","O","57          ","ST PAUL PL          ","                    ","80830","30530","25130"
"7463407100","EPH1317   ","NY","PAS","20100330","34-Expired Meter                                                                 ","34","035","Q    ","F","88-01       ","Queens Blvd         ","                    ","59990","11540","11640"
"7847441550","BXW6559   ","NY","PAS","20100306","17-No Stand (exc auth veh)                                                       ","17","095","NY   ","I","S           ","E 29th St           ","60ft W/of 1st Ave   ","17570","00000","00000"
"7886980426","EPH2387   ","NY","PAS","20100330","71A-Insp Sticker Expired (NYS)                                                   ","71","065","NY   ","F","361         ","W 51st St           ","                    ","34790","10810","10910"
"1267631466","DCF2461   ","NY","PAS","20100303","                                                                                 ","50","115","NY   ","F","2050        ","8TH AVE             ","                    ","10810","35990","36010"
"7932167772","EPH3043   ","NY","PAS","20100330","09-Blocking the Box                                                              ","09","115","NY   ","X","            ","Delancey St         ","Orchard St          ","16310","27590","00000"
"7944199104","BXW8012   ","NY","PAS","20100307","40-Fire Hydrant                                                                  ","40","115","NY   ","I","N           ","South St            ","30ft W/of Doyers St ","30640","00000","00000"
"7702555221","BXW9689   ","NY","PAS","20100305","71A-Insp Sticker Expired (NYS)                                                   ","71","065","K    ","F","1723        ","E 12th St           ","                    ","35330","54050","14480"
"7709742970","DCF3582   ","NY","PAS","20100309","39-Overtime PKG-Time Limt Post                                                   ","39","065","NY   ","F","1691        ","2nd Ave             ","                    ","10110","18730","18750"
"7702555233","BXW9689   ","NY","PAS","20100305","17-No Stand (exc auth veh)                                             Y015001003","17","095","K    ","F","1723        ","E 12th St           ","                    ","35330","54050","14480"
"7119076152","EPH3075   ","NY","PAS","20100330","34-Expired Meter                                                                 ","34","035","Q    ","F","82-39       ","Broadway            ","                    ","37290","66490","10140"
"1294998304","EPH4040   ","NY","PAS","20100323","                                                                                 ","21","065","NY   ","O","27          ","E 3 ST              ","                    ","17050","13460","10110"
"7643054046","EPH4554   ","NY","PAS","20100330","34-Expired Meter                                                                 ","34","035","Q    ","O","74-20       ","37th Rd             ","                    ","08890","15640","15790"
"7940552764","BXX3235   ","NY","PAS","20100306","71A-Insp Sticker Expired (NYS)                                         Y015001003","71","065","NY   ","F","200         ","E 5th St            ","                    ","17090","16000","10110"
"7645847803","BXX3275   ","NY","PAS","20100305","19-No Stand (bus stop)                                                 Y015001003","19","115","BX   ","F","1306        ","Castle Hill Ave     ","                    ","18520","76950","47720"
"7557860329","EPH5115   ","NY","PAS","20100330","34-Expired Meter                                                                 ","34","035","K    ","F","197         ","Bedford Ave         ","                    ","18630","66330","66230"
"7011231663","EPH6207   ","NY","PAS","20100330","14-No Standing                                                                   ","14","115","NY   ","F","407         ","E 70th St           ","                    ","18390","10010","45590"
"1292936873","EPH6473   ","NY","PAS","20100323","                                                                                 ","11","045","BX   ","I","            ","                    ","35' W/O BOSTON RD   ","00000","00000","00000"
"7106656306","EPH7715   ","NY","PAS","20100330","40-Fire Hydrant                                                                  ","40","115","Q    ","F","5-53        ","48th Ave            ","                    ","10590","05190","66390"
"7731223050","BXX4367   ","NY","PAS","20100305","21-No Parking (street clean)                                           Y015001003","21","045","K    ","F","465         ","8th St              ","                    ","05930","05780","05880"
"7446602740","BXX7393   ","NY","PAS","20100306","19-No Stand (bus stop)                                                           ","19","115","Q    ","O","228-03      ","Linden Blvd         ","                    ","53890","27092","27094"
"1292176283","BXY2442   ","NY","PAS","20100301","                                                                                 ","74","065","Q    ","F","37-71       ","102 ST              ","                    ","19540","08790","09140"
"7551849889","BXY2629   ","NY","PAS","20100306","16A-No Std (Com Veh) Non-COM                                           Y015001003","16","095","K    ","O","199         ","Atlantic Ave        ","                    ","13430","27530","29830"
